Realization,Block,Event,Allisonia,Belva,Bluestone,GlenLyn,Hilldale,Marmet,Pipestem,Queen Shoals,Radford,Summersville,Sutton,Thurmund,Tornado,Winfield
1,1,1,3928.469979,14854.88542,74799.39,77685.73498,1455.233275,71573.9,450.7823767,6993.291422,4735,1091.383961,1762.83,61447.36925,249.9347987,72569.90447
1,1,2,31524.02074,15619.63076,75991.38,78170.71245,13703.11025,72925.9,4930.881591,7170.652398,32798.89,22776.94156,10705.43,62607.08796,7747.96624,75138.85938
1,1,3,6881.682265,14852.6223,75803.1,78338.80789,1063.436344,71521.65,1667.046503,7065.76819,9598.3,774.4667959,852.91,61318.35214,1524.402655,72923.70622
1,1,4,7773.332879,14975.4027,77013.11,78950.69403,1713.247642,72565.03,3432.397867,7408.071665,9775.11,7810.156089,4422.89,61795.19876,7122.369976,75197.26135
1,1,5,8086.932323,19077.63035,80686.16,80433.98103,49927.08642,91230.11,8664.310134,14499.07421,9345.73,21749.16487,14826.67,72312.80051,11358.28745,111183.9676
1,1,6,20036.00782,18637.74002,75912.46,78149.7723,21818.73861,73780.99,4640.826502,12003.83851,25072.38,14500.07239,9678.81,62827.24598,19712.04325,77198.50555
1,1,7,22995.27176,14915.76887,76001.64,78382.81336,4173.500689,72136.47,4514.649968,7081.43047,25351.45,4581.281462,2437.45,61785.68875,4104.122647,73789.81848
1,2,8,10442.06471,15066.24426,79241.14,80027.86087,3754.73155,73676.36,9901.004602,7272.529608,12332.63,3846.030697,3432.8,62145.75495,17996.86359,77382.64301
1,2,9,5942.654853,14948.49303,76294.35,78301.84069,1504.244762,72006.93,2448.081512,7253.644568,6962.56,3337.514388,4263.36,61495.84236,4192.516051,74383.59586
1,2,10,32564.51279,25788.33744,82520.22,81864.43575,58201.49854,104764.64,26010.49625,10454.4655,39117.92,12368.89784,6956.7,82744.15797,21106.55172,122872.2706
1,2,11,9013.924119,15024.47066,78351.47,79441.97908,3625.685179,73156.19,4274.601297,7199.399575,10449.92,4343.681854,2714.34,62588.3213,4416.669691,75651.446
1,2,12,7734.798045,14943.53858,78749.6,79713.94227,2470.305027,71865.87,5415.62157,6993.643735,9995.68,1449.158285,877.36,61494.68836,724.6081879,73042.55908
1,2,13,4557.37848,14961.95469,75060.61,77704.9435,1090.259053,71949.62,904.9344282,7061.638239,5487.94,1784.617906,1222.88,61405.51991,1329.996259,73682.75175
1,2,14,7740.767257,14980.46245,77848.73,79275.14592,4075.926584,73098.98,3222.754921,7242.432507,9718.89,4659.097442,3250.45,62641.54401,8274.14861,75540.68698
1,2,15,4026.49825,15020.50665,75909.98,78039.32752,1296.137882,72622,3196.871306,7588.88895,5260.7,3710.380711,3797.95,61619.34692,6179.782741,75755.09441
1,3,16,4164.661218,15065.26619,77536.45,78642.43463,11869.15428,75005.35,4877.555184,7856.778606,5083.19,11104.99863,5261.39,64443.68921,13137.45795,78406.58941
1,3,17,3928.469979,14833.39017,74793.78,77680.73244,1063.436344,71466.24,403.9963979,6959.698697,4810.13,774.4667959,382.96,61318.28377,249.9347987,72404.46926
1,3,18,10902.66269,14874.13199,75195.95,77962.4911,8590.219682,71911.99,521.9987406,9112.569402,11614.1,7243.742847,10026.68,61527.6972,5543.524509,73762.12299
1,3,19,8574.138568,15085.08394,77095.98,78715.6784,5422.903933,73595.51,2676.377797,8216.251286,9983.53,3984.491096,3589.05,62676.00975,5825.195212,77338.37463
1,3,20,16372.90016,14979.72488,77092.6,79306.43596,4186.027671,72336.84,1672.06064,7143.610375,20219.61,4552.541661,2918.13,62052.0399,1281.592221,74268.00745
1,3,21,3989.943885,15031.82831,75873.89,77977.72923,3084.758857,73099.26,2273.878762,7454.194767,4727.61,3723.380702,4736.9,62131.76662,6540.361188,76494.83629
1,3,22,11088.24447,14945.77781,75889.96,78047.56873,3237.614017,72892.33,2851.452887,7857.715036,12296.3,11514.64564,7545.89,62349.50042,10649.81123,75712.30078
